p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.35415871344412e-27,3.91852504600364,0.238,0.268,4.06247614033236e-24,0,SAMD12
1.59934393736791e-27,1.95859737088618,0.309,0.238,4.79803181210373e-24,0,ST8SIA5
2.07310400536879e-27,0.771914400412573,0.458,0.385,6.21931201610638e-24,0,ARL15
2.38696031720013e-26,0.517527224889126,0.377,0.336,7.1608809516004e-23,0,KCNN2
2.94279013585955e-26,0.700976718583785,0.291,0.199,8.82837040757864e-23,0,RBMS1
1.02484250817841e-25,5.63375209826871,0.362,0.296,3.07452752453522e-22,0,DNER
2.60180923535793e-25,0.814270358837851,0.288,0.324,7.80542770607379e-22,0,PRKCA
4.84909320647858e-25,8.10574451272497,0.26,0.23,1.45472796194357e-21,0,GYS1
9.14976576667045e-25,1.06091007994326,0.375,0.342,2.74492973000114e-21,0,JPH4
2.36579325382249e-24,1.33309553905078,0.363,0.491,7.09737976146746e-21,0,CRIP2
2.96391545603638e-24,2.34678875431991,0.318,0.316,8.89174636810914e-21,0,SAP30
4.66227215858174e-23,1.65474594166536,0.316,0.267,1.39868164757452e-19,0,CRYBG1
1.31366304655947e-22,0.490613895717276,0.298,0.201,3.94098913967842e-19,0,IQCM
1.15704036367301e-21,0.605113328281611,0.363,0.303,3.47112109101904e-18,0,ALOX5AP
2.02192928060945e-21,1.07800747836261,0.302,0.274,6.06578784182834e-18,0,KCNJ3
3.7546818909676e-21,0.837982457737264,0.367,0.319,1.12640456729028e-17,0,FGFR1
6.70132836299867e-21,1.37175342801987,0.319,0.297,2.0103985088996e-17,0,NOL4L
1.29780522550978e-20,1.69711072710248,0.277,0.222,3.89341567652935e-17,0,FN3KRP
6.80218108650525e-20,1.9882400248465,0.326,0.224,2.04065432595157e-16,0,SLCO5A1
1.02014518135702e-19,0.263462668838117,0.273,0.279,3.06043554407105e-16,0,FOXP4
2.91191404525019e-19,0.972297281713647,0.271,0.187,8.73574213575057e-16,0,PTPRQ
5.40921918787045e-19,2.43721783124372,0.249,0.264,1.62276575636113e-15,0,DNAJC6
5.86481620632238e-19,0.299073657097408,0.149,0.332,1.75944486189671e-15,0,RPS27L
8.47931928443508e-19,1.75074869326246,0.286,0.231,2.54379578533052e-15,0,SLC36A1
2.48014047239598e-18,1.37856373401814,0.339,0.237,7.44042141718795e-15,0,PRKX
3.30235247555216e-18,0.316414157968043,0.346,0.348,9.90705742665648e-15,0,PAIP1
9.93680782141564e-18,0.502240476456721,0.37,0.345,2.98104234642469e-14,0,CBX3
1.60583365304528e-17,1.69885698906005,0.276,0.239,4.81750095913583e-14,0,KSR1
4.6308716251397e-17,0.516543330339899,0.256,0.228,1.38926148754191e-13,0,PRKD3
5.32021804701805e-17,0.794197849741822,0.48,0.438,1.59606541410542e-13,0,MTSS1
3.09815627520169e-16,2.2563756021495,0.37,0.246,9.29446882560508e-13,0,CEP85L
1.00684220721422e-15,0.499806880161923,0.354,0.227,3.02052662164267e-12,0,HS6ST3
